goodinfo,condemn,qAnswered,totalCorrect,percCorrect,ansall,dowork,doromantic,doacademic,dodrugs,trustswork,trustsromantic,trustsacademic,trustsdrugs,trustgwork,trustgromantic,trustgacademic,trustgdrugs,likework,likeromantic,likeacademic,likedrugs,compq1work,compq1romantic,compq1academic,compq1drugs,compq2work,compq2romantic,compq2academic,compq2drugs,compq3work,compq3romantic,compq3academic,compq3drugs,compq4work,compq4romantic,compq4academic,compq4drugs,sumdo,sumtrusts,sumtrustg,sumlike,sumtotal,age,gender,edu,income,generaltrust,reason,previousexperience
1,0,16,16,1,1,3,2,3,3,5,6,6,4,5,5,5,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.25,5.25,4.75,4,4.8125,23,2,5,1,4,"I made judgments based on the fact that while I feel I can trust people in the context of the situation, it doesn't automatically mean I like them or that they won't do whatever the negative thing in question is in the future. I also didn't say I TOTALLY trusted them because it was essentially thirdhand information: I heard that someone heard or said so and so didn't do negative thing or was positive thing.",1
1,1,4,3,0.75,0,,,2,,,,6,,,,5,,,,5,,,,2,,,,1,,,,2,,,,1,,6,6,5,5,5.5,,1,,,,,
0,0,16,16,1,1,3,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.25,4.5,4.5,4.5,4.4375,27,2,6,5,6,"Hearing about the shortcomings of an acquaintance didn't influence my perception of the third person. Based on the situation I guessed on how much I would like a person. For example, if I was on a team then I would assume that I would trust and like my teammate.",1
0,0,16,16,1,1,3,4,4,3,4,4,4,4,4,4,4,4,5,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.5,4,4,4.5,4.25,24,2,5,5,5,I tried not to let random other stuff influence my judgements,1
1,1,8,7,0.875,0,,,7,7,,,1,1,,,4,4,,,1,1,,,2,2,,,1,1,,,3,2,,,1,1,1,1,4,1,1.75,,2,,,,,
1,0,16,16,1,1,2,2,2,2,6,6,6,7,5,5,5,5,4,5,4,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,6.25,5,4.5,5.4375,28,1,5,5,4,"My judgments were made based on context. I view relationship faithfulness on a different scale (or level, if you will) than cheating on an exam, which I also view differently than failing to meet a critical deadline at work, etc. These situations are all those which I would wish to avoid; however, their severity is only relative in context.",1
1,0,16,16,1,1,1,1,1,1,7,7,5,6,7,7,5,6,7,7,5,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,7,6.25,6.25,6.25,6.4375,21,2,4,1,5,I made my judgements by comparing the fictional people to real people in my life,1
0,1,16,16,1,1,3,2,2,1,4,5,6,6,4,4,5,4,4,4,4,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6,5.25,4.25,4.25,4.9375,27,2,4,2,5,"I generally don't like gossipers, but my relationship with them determines how much I'll like them overall.",1
0,1,16,15,0.9375,1,3,2,2,1,5,4,5,5,4,5,5,5,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,6,4.75,4.75,4,4.875,,1,,,,,
0,1,16,16,1,1,3,3,3,3,5,4,5,4,5,5,5,4,5,5,5,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5,4.5,4.75,4.75,4.75,32,2,6,7,7,I think people are reasonably trustworthy and generally unlikely to take dangerous risks.,2
0,0,8,7,0.875,0,,4,,4,,4,,4,,4,,4,,4,,4,,1,,1,,1,,1,,3,,1,,2,,2,4,4,4,4,4,,1,,,,,
0,1,12,11,0.916666686534882,0,2,4,,3,5,4,,5,4,3,,4,2,3,,4,1,1,,1,1,1,,1,3,3,,1,1,1,,1,5,4.66666650772095,3.66666674613953,3,4.08333349227905,,1,,,,,
1,0,4,3,0.75,0,2,,,,5,,,,5,,,,6,,,,2,,,,1,,,,3,,,,1,,,,6,5,5,6,5.5,,2,,,,,
1,1,16,16,1,1,4,4,6,3,3,4,5,4,3,4,6,3,3,5,6,3,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,3.75,4,4,4.25,4,23,2,5,1,4,"I judge by names, sadly.",1
1,0,16,16,1,1,1,1,1,7,7,7,7,3,7,7,7,3,7,7,7,2,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.5,6,6,5.75,5.8125,30,1,2,5,6,I based my judgments off of the seriousness of the situation and similar situational experiences.,2
0,1,16,16,1,1,6,5,1,3,5,3,7,6,5,6,7,6,3,5,6,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.25,5.25,6,4.75,5.0625,27,1,5,5,6,"I'll give my thinking and reasoning below, as honestly as I can. Do not take anything I say personally, it is just how my brain works. /  / 1. I am moderately sexist. I do not typically trust women as I've been burned several times in my life by them. I just can't trust them. What they say and what they do is very different. /  / 2. Performance enhancers have their uses, and it is not uncommon in extremely competitive environments. Typically anyone who displays disgust towards them would take them themselves in a heartbeat. /  / 3. People who typically gossip about other co-workers use this as a means to improve their own value to others, to appear more useful than they really are. These are typically the weak ones who want to feed on others shortcomings to look better. /  / 4. Students do not typically have an impact on each other's performance, so it doesn't matter what crap they speak about each other. If a student complains about cheaters, then he most likely doesn't cheat at all. They aren't competitive like they used to be. /",1
0,0,16,16,1,1,3,4,3,2,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5,4.75,5,5,4.9375,29,2,6,4,5,"I generally like to give people the benefit of the doubt and the people involved are just random acquaintances, so I like to hope they'll be decent people.",1
0,0,16,16,1,1,3,1,1,2,5,6,6,6,6,5,5,6,5,5,6,6,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,6.25,5.75,5.5,5.5,5.75,27,1,5,5,6,By thinking about reactions to the other,1
1,1,16,16,1,1,2,3,2,1,5,5,6,6,5,4,5,4,6,5,5,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,5.5,4.5,5,5.25,23,1,2,1,5,I know people dont always tell yo stuff like that with the intentions of hurting someone,1
1,0,16,16,1,1,3,1,1,1,5,7,5,6,5,7,5,6,5,6,5,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6.5,5.75,5.75,5.5,5.875,31,1,6,7,4,"I based on who was gossiping, and what they were gossiping about. Personally, I do not trust people who gossip. However, I do take into consideration the information they are gossiping about.",1
1,1,16,16,1,1,2,2,2,2,5,6,6,6,6,5,5,5,5,6,4,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,5.75,5.25,5,5.5,23,1,4,6,5,i judged people based on how they acted in character building decisions,1
1,0,16,16,1,1,6,2,1,7,6,4,6,1,5,5,7,1,4,7,4,1,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4,4.25,4.5,4,4.1875,56,2,2,4,4,I belive people should always be honest and do the right thing,1
0,1,16,16,1,1,2,3,2,2,5,5,5,5,5,5,5,5,5,6,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.75,5,5,5.25,5.25,20,1,2,2,3,I imagine the scenarios as if they were to actually happen to me.,2
0,0,16,16,1,1,2,3,3,3,5,4,4,5,5,4,5,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5.25,4.5,4.5,4,4.5625,24,2,5,1,5,"I based it on what I knew about the person, and tried not to let what I heard about someone else influence me.  Since I didn't know much about most of the people, I tried to remain neutral",2
1,0,16,16,1,1,1,2,3,2,6,6,6,6,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,6,5,5,5.5,21,1,2,1,4,I used the gossip presented to make informed decisions about my peers.,3
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,20,1,4,5,4,I try to not judge people positively or negatively until I have had a chance to interact with them and form my own opinions.,1
1,1,16,16,1,1,3,3,4,5,4,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,4.25,4.25,4,4,4.125,32,1,5,4,5,Read the article and try to make a quick judgement on character that was needed.,1
1,0,16,16,1,1,2,2,5,2,6,6,4,6,5,7,3,4,5,5,4,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.25,5.5,4.75,4.75,5.0625,25,1,5,6,5,"I tried to imagine myself in the situation, and just go with my gut. Also using past experiences in the different scenarios helped with the context.",1
0,1,16,16,1,1,4,4,3,3,4,5,5,5,4,5,4,4,3,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.5,4.75,4.25,3.75,4.3125,20,1,4,1,3,I tried to visualize myself in those scenarios.,1
0,1,16,16,1,1,2,4,1,3,5,4,5,5,5,4,5,5,3,5,5,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.5,4.75,4.75,4.25,4.8125,19,1,4,5,5,Based on how i interact with other people,2
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,22,1,4,4,3,I know nothing about the third person so I can't judge them.,1
1,1,16,16,1,1,2,2,3,2,5,6,5,5,4,5,5,4,4,5,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.75,5.25,4.5,4.25,4.9375,37,1,5,7,5,I based my judgements on the information I heard from the people in the stories.,2
1,0,8,7,0.875,0,4,,2,,4,,5,,5,,5,,5,,4,,2,,2,,1,,2,,3,,3,,2,,2,,5,4.5,5,4.5,4.75,,1,,,,,
0,1,16,16,1,1,2,2,2,2,6,6,5,6,3,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6,5.75,3.75,4.25,4.9375,43,2,6,5,5,"My assumption was that if one expressed disapproval of another's actions, one would be unlikely to engage in such an action.",1
0,0,16,16,1,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4.25,4,4,4.0625,24,1,4,1,6,"Most of the time I was asked to judge the person I knew nothing about and didn't even tell me anything so I had nothing to go on so I just answered int he middle. In the one where I was asked to evaluate the guy who told me about the other guy using performance enhancing drugs I decided to trust him a bit more on being on my team, but honestly who knows if he really disapproves that much of the use of that drug or will or won't use it int he future. Performance enhancing drugs use is incredibly wide spread in the USA.",1
0,1,16,16,1,1,5,2,5,3,5,4,4,5,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.25,4.5,4,3.75,4.125,26,1,4,4,2,"It was a bit difficult to make judgements on only a single interaction, but I did the best I could intuitively.",2
0,0,16,16,1,1,5,4,3,4,4,4,5,6,4,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4.75,4.75,4.75,4.5625,58,2,3,6,4,"pretty much as I normally decide if someone is trustworthy or not. It takes me awile to decide. I watch how they interact with others, and then see if they ""walk the same walk as they talk"".",1
1,0,16,16,1,1,1,1,1,1,7,7,7,7,6,6,6,6,4,6,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,7,7,6,4.5,6.125,23,1,5,3,3,"Usually one of them seemed good, one seemed up in the air, and one seemed bad. I don't know how much I would ""like"" someone I don't know.",1
0,0,16,16,1,1,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.5,4,4,4,4.125,30,1,6,7,4,I made my judgments based on being objective since I did not know the people involved well.,1
1,0,16,16,1,1,2,2,4,4,7,5,7,6,7,5,6,5,5,5,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5,6.25,5.75,4.5,5.375,32,2,5,10,5,based on gut instinct and if it was stated that the person in question had a good reputation,1
1,1,4,3,0.75,0,,,3,,,,5,,,,5,,,,4,,,,2,,,,1,,,,2,,,,1,,5,5,5,4,4.75,,1,,,,,
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,25,1,4,1,5,"Well considering that I knew nothing about any of the people that the ratings were for, I chose like I didn't know them well enough to rate the questions good or bad..",3
1,1,16,16,1,1,5,1,1,5,5,6,5,5,5,5,5,6,6,5,6,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5,5.25,5.25,5.5,5.25,55,2,3,6,7,I relied on the person telling me the information about the other individual was telling me the truth.,1
0,1,16,16,1,1,3,4,4,4,3,4,4,4,3,4,4,4,3,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.25,3.75,3.75,4,3.9375,30,2,4,5,5,I made my judgments based on how I personally view myself and things I hold of value.,1
1,0,16,13,0.8125,1,2,3,2,1,5,3,2,1,5,2,3,1,5,4,2,1,2,2,1,2,1,1,2,1,3,3,3,3,2,2,1,2,6,2.75,2.75,3,3.625,,1,,,,,
0,1,16,16,1,1,1,2,1,1,5,4,5,5,5,1,5,5,5,4,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.75,4.75,4,4.75,5.0625,25,2,5,5,5,I tried to place myself in the situation and how I would judge each person based on the information given.,1
0,1,16,16,1,1,2,1,2,2,5,6,5,5,5,6,5,5,5,6,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.25,5.25,5.25,5.25,5.5,38,1,5,7,6,If someone disaproves of a bad action like cheating they probably would not do it themselves.,1
0,1,16,16,1,1,4,3,4,2,4,3,4,5,3,4,4,3,6,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.75,4,3.5,6,4.5625,54,1,5,5,6,Based on my past experience in interacting with people.,1
1,0,16,16,1,1,2,1,1,6,7,7,6,1,6,6,5,5,5,6,5,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.5,5.25,5.5,5,5.3125,35,1,2,6,7,"I made my judgments based on how it appeared each person seemed to be. If they were reliable, trustworth and faithful. I tend to go with my gut instinct however, sometimes I must go on the only detail that I have.",1
1,1,4,3,0.75,0,,1,,,,3,,,,5,,,,2,,,,2,,,,1,,,,1,,,,1,,,7,3,5,2,4.25,,1,,,,,
0,0,16,16,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4,4,4,4,31,1,6,7,6,There was really no judgement to make becasue the questions were about people who I had no additional context provided.,1
1,1,16,16,1,1,4,4,2,3,2,2,4,4,3,3,4,5,3,3,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,4.75,3,3.75,3.5,3.75,43,2,2,5,5,I treated them as if it were real life situations and dealt with them as I would in real life. based on the information given.,4
1,0,16,16,1,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.25,3.75,4,4,4,32,2,5,6,5,"If I know nothing about the person being talked about, I don't judge.  I don't know the whole story.",1
1,1,16,16,1,1,7,2,1,2,6,7,,7,5,7,6,5,6,5,7,5,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5,6.66666650772095,5.75,5.75,5.79166650772095,41,1,4,6,5,I paid attention to the names and who did what,1
0,0,16,15,0.9375,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,4.25,4,4,4,4.0625,,2,,,,,
1,0,16,16,1,1,2,2,2,2,5,5,5,5,5,5,5,5,4,5,5,3,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,5,5,4.25,5.0625,49,2,4,6,5,"I made them based on the gossip! Sad but if so-and-so said friend #1 is good, he must be and if other-guy says friend #2 is bad, he must be. Very sad.",1
0,1,16,16,1,1,2,1,2,1,7,6,6,6,7,3,3,3,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.5,6.25,4,5,5.4375,29,1,5,8,5,"I would think that if someone dissapproves of the action then they would not likely do it themselves. I would not trust people that divulged personal information about other across all contexts, but would trust them in the topic that we were talking about.",3
0,0,16,16,1,1,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5,4.25,4,4,4.3125,45,2,6,10,6,on personal experience. I generally trust someone until they give me reason not to,1
1,1,8,8,1,0,2,,3,,6,,4,,6,,5,,5,,5,,2,,2,,1,,1,,3,,3,,1,,1,,5.5,5,5.5,5,5.25,,2,,,,,
1,0,16,16,1,1,3,2,3,4,4,6,5,5,5,4,5,4,4,5,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5,5,4.5,4.25,4.6875,46,1,2,7,6,I tried to inject myself into the situation and went with my gut feelings.,1
0,1,4,4,1,0,,,,5,,,,3,,,,4,,,,4,,,,1,,,,1,,,,3,,,,1,3,3,4,4,3.5,,2,,,,,
1,0,16,16,1,1,1,2,2,3,6,1,6,6,6,5,5,5,6,6,5,5,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,4.75,5.25,5.5,5.375,52,2,4,4,6,from the heaart,3
0,1,16,16,1,1,1,1,1,2,6,7,7,6,6,6,6,6,3,6,6,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.75,6.5,6,5.25,6.125,24,2,5,4,5,"I made my judgements based on two things. The first thing being that someone in the scenario was gossiping. I trusted them a bit less if they were gossiping. The second thing I based my judgment on was their expressing disgust. I feel if they are disgusted by something, they are more likely to not engage in that activity.",1
0,0,16,16,1,1,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5.25,4,4,4,4.3125,32,1,5,3,4,"I tended to give people the benefit of the doubt that they would not cheat, miss deadlines, etc. even if I did not know anything about them, though I left room for uncertainty.",1
0,1,16,16,1,1,1,1,2,1,6,4,6,6,6,6,6,6,5,4,5,6,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6.75,5.5,6,5,5.8125,52,1,6,8,5,It was based on the reports that were given and the kind of people that were reporting to me that showed disapproval for poor behavior.,1
0,0,16,16,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4,4,4,4.1875,53,2,2,5,4,By what I knew about the person,1
1,1,16,16,1,1,2,2,2,2,6,7,6,7,6,7,6,6,6,7,6,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,6.5,6.25,6.25,6.25,48,2,5,8,6,I liked the people who had the same morals and ethics that I do.  I feel that I can trust them to be honest and trustworthy. I really liked and trusted the guy who was overheard to be faithful in his last relationship and passes his disapproval over another guy cheating on his girlfriend.,1
1,0,12,11,0.916666686534882,0,,3,3,3,,5,5,5,,5,5,5,,5,4,4,,2,2,2,,1,1,3,,3,3,3,,2,2,2,5,5,5,4.33333349227905,4.83333349227905,,1,,,,,
1,0,16,16,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,6,7,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,7,7,7,6.5,6.875,39,2,4,6,4,"If someone has proven to not cheat or lie in the past, I give them the benefit of the doubt that they won't do so in the future.",2
0,0,16,16,1,1,4,1,4,4,5,4,5,5,5,3,5,5,5,4,4,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4.75,4.5,4.5,4.625,43,2,2,4,4,"The ones I trusted were the ones I knew nothing about , the ones I distrusted were the ones who gosspied about others and most of the trust issues were based on hear say and did not come from the horses mouth so to speak",1
0,0,16,16,1,1,4,4,4,4,4,4,4,6,4,4,4,5,4,4,4,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4,4.5,4.25,4.25,4.25,45,1,4,6,5,"Since the core questions were all about the undifferentiated member of the original group, there is no easy way to predict their future behavior, nor have value judgments about them.",2
1,1,4,0,0,0,,,,5,,,,2,,,,3,,,,1,,,,3,,,,2,,,,1,,,,2,3,2,3,1,2.25,,1,,,,,
0,1,4,4,1,0,,3,,,,5,,,,5,,,,4,,,,1,,,,1,,,,3,,,,1,,,5,5,5,4,4.75,,1,,,,,
1,0,16,16,1,1,5,6,7,2,6,5,6,4,5,5,6,5,7,7,5,7,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,3,5.25,5.25,6.5,5,29,1,5,9,5,By reading the story and nature of the persons based on their past history,1
0,0,16,16,1,1,2,2,1,5,4,6,5,3,6,6,5,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5.5,4.5,5.25,4,4.8125,36,1,2,5,6,I made the best choice using the information given.,1
1,1,16,15,0.9375,1,4,5,4,2,2,1,3,3,2,1,1,1,3,1,1,2,2,2,2,2,1,1,1,1,3,3,3,2,1,1,1,1,4.25,2.25,1.25,1.75,2.375,,2,,,,,
0,1,16,16,1,1,2,2,2,2,6,6,6,6,5,5,5,5,5,4,5,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,6,6,5,4.5,5.375,34,2,6,6,5,"I made my judgments based on the fact that the person giving the information was talking behind someone's back. Although the disapproval made me trust them more as a partner, swim team competitor etc., it didn't make me trust them more across all contexts.",1
1,1,16,16,1,1,5,2,5,5,6,4,4,4,4,5,3,3,5,5,4,3,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,3.75,4.5,3.75,4.25,4.0625,21,2,2,1,4,I based my judgments on how I perceived the characteristics of the main people in the story(Ex. Katie or Steven).,1
1,0,16,16,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,7,7,7,7,7,30,2,5,1,5,I made judgements based on the information I was provided.,1
0,0,16,16,1,1,4,4,5,4,4,5,1,4,4,5,4,4,4,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,3.75,3.5,4.25,4.25,3.9375,34,1,4,4,6,It was hard to judge because I didn't know much about them.,1
0,1,16,16,1,1,6,5,1,5,5,4,7,7,6,3,7,6,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3.75,5.75,5.5,5,5,21,2,4,5,7,very easy i just read thestories and went from there.,1
1,1,16,16,1,1,2,5,1,2,6,5,5,4,5,3,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,5.5,5,4,4,4.625,27,1,6,1,6,based off the information and personal belief,1
0,0,4,3,0.75,0,,,4,,,,6,,,,6,,,,6,,,,1,,,,2,,,,3,,,,2,,4,6,6,6,5.5,,2,,,,,
1,1,4,3,0.75,0,,2,,,,3,,,,5,,,,5,,,,2,,,,3,,,,3,,,,1,,,6,3,5,5,4.75,,2,,,,,
0,1,16,16,1,1,7,2,5,7,1,6,6,4,4,4,5,2,4,5,5,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,2.75,4.25,3.75,4,3.6875,30,1,5,7,3,"I based my judgments on real life experiences.  I played baseball in college and the a large segment of athletes use illegal substances.  This is why I don't trust the subject not to use Vitronil.  For the law classes I unfortunately have to interact with multiple lawyers and they are all a bunch of lying cheaters anyway.  I'm sure they all cheated on their take home exams.   As far as cheating goes, you either are a cheater or your not, so you just have to make a judgment call.  For the employee involved in group projects, I'm used to see a bunch of terrible co-workers so I expect that co-worker to fail like the rest.",2
1,0,16,16,1,1,3,3,3,5,5,5,4,4,5,5,4,3,4,5,5,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.5,4.5,4.25,4.5,4.4375,43,1,4,6,5,Based on my gut and the information provided,1
0,1,16,16,1,1,1,1,1,1,2,7,7,7,1,5,7,7,4,5,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,7,5.75,5,4.25,5.5,40,1,4,10,5,by reading the story and thinking about the people in them,1
1,1,16,15,0.9375,1,2,3,3,3,6,5,5,4,5,5,5,5,4,5,5,4,2,2,2,2,1,2,1,1,3,3,3,3,1,1,1,1,5.25,5,5,4.5,4.9375,,2,,,,,
0,0,16,16,1,1,3,2,2,2,5,5,5,5,3,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5.75,5,4.5,4.75,5,57,2,6,9,7,I am not sure.  I just read the story and went with my feelings.,1
1,1,16,16,1,1,2,3,5,4,5,4,4,4,5,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,4.5,4.25,4.25,4,4.25,31,1,5,6,6,I made my judgements based on who gave me the information and their credibility.,1
1,0,16,16,1,1,4,1,4,4,4,1,4,4,4,1,4,4,4,1,4,4,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,4.75,3.25,3.25,3.25,3.625,20,2,1,1,3,I answered using facts from the stories.,1
0,0,16,16,1,1,3,4,3,3,4,4,5,5,4,4,5,4,4,4,4,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,4.75,4.5,4.25,4.25,4.4375,36,2,5,6,4,I just made the judgements as I would considering someone that I dont know well in my life.,1
1,1,16,16,1,1,2,2,2,2,6,7,6,7,7,6,6,7,6,7,5,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6,6.5,6.5,6,6.25,33,1,6,10,6,I don't care much for snitches but depending on the environment and context the person could be valuable.,1
1,0,16,16,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,7,7,7,7,7,24,2,2,4,5,Based on the rumors that were spread around.,1
0,1,16,16,1,1,5,1,3,4,5,4,3,2,4,5,4,1,4,5,4,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,4.75,3.5,3.5,3.75,3.875,41,2,5,8,5,Judgements were made based on the character described in the paragraph.,3
0,1,16,16,1,1,2,3,2,2,4,3,5,5,4,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5.75,4.25,3.75,4,4.4375,46,2,4,5,5,"I tend to be a little lukewarm when judging whether I like a person or would trust a person based on the information in the scenarios. All scenarios showed a little gossip, which I don't like. Also they are about team mates, co workers, etc., which I am given the impression in the scenario, that I know very little about.",2
0,0,4,3,0.75,0,,,,5,,,,4,,,,5,,,,4,,,,1,,,,1,,,,2,,,,2,3,4,5,4,4,,1,,,,,
1,0,16,16,1,1,1,3,3,2,7,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.75,6.25,6,6,6,34,1,4,2,6,If a person had a reputation for being trustworthy than I  went with the flow.,1
1,0,16,16,1,1,2,1,2,2,6,6,6,6,6,5,6,6,6,6,6,6,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6.25,6,5.75,6,6,30,1,6,9,5,Based on the comparisons of the people in the story to people I know in my life,1
0,0,16,16,1,1,2,2,6,2,5,4,5,5,5,4,5,5,5,4,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,5,4.75,4.75,4.75,4.8125,63,2,2,7,5,I THOUGHT ABOUT PEOPLE LIKE MOST PEOPLE DO,1
1,0,16,16,1,1,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,5.5,7,7,7,6.625,35,2,4,6,7,I made my judgements based on the characters in the stories ethics and morals.,1
1,1,16,16,1,1,2,1,1,1,5,6,6,6,6,7,6,5,6,6,5,6,2,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,6.75,5.75,6,5.75,6.0625,24,2,5,4,6,Based on the information given and the situation.,2
